CARRARA;7206017;B   60       17;BIDE C/ 3 FUROS
CARRARA;7062617;CP  626      17;CONJ.BACIA C/CAIXA ACOPL.
CARRARA;7106017;P   60       17;BACIA CONV.
CARRARA;7306017;LC  60       17;LAVATORIO 550X510MM
CARRARA;7403417;L   34       17;CUBA SOBREPOR 480X480MM
CARRARA;7306217;L   62       17;LAVATORIO SEMI-ENC. 550X 500MM
CARRARA;7403617;L   36       17;CUBA EMBUTIR 510X375MM
